Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

3880	0	3880	7,60155
3890	0	3890	7,601245
3900	0	3900	7,60216045
3910	0	3910	7,60185528
3920	0	3920	7,60155
3930	0	3930	7,60216045
3940	0	3940	7,60185528
3950	0	3950	7,60216045
3960	0	3960	7,60246563
3970	0	3970	7,603076
3980	1	3980	7,60185528
3990	1	3990	7,601245
4000	1	4000	7,60185528
4010	1	4010	7,60216045
4020	1	4020	7,60216045
4030	1	4030	7,60185528
4040	1	4040	7,60246563
4050	1	4050	7,603076
4060	1	4060	7,603381
4070	0	4070	7,603076
4080	0	4080	7,60246563
4090	0	4090	7,601245
4100	0	4100	7,60063457
4110	0	4110	7,601245
4120	0	4120	7,601245
4130	0	4130	7,599414
4140	0	4140	7,59849834
4150	0	4150	7,598193
4160	0	4160	7,59849834
4170	0	4170	7,599414
4180	0	4180	7,599414
4190	0	4190	7,5991087
4200	1	4200	7,5991087
4210	1	4210	7,599414
4220	1	4220	7,599414
4230	1	4230	7,600024
4240	1	4240	7,60093975
4250	1	4250	7,600024
4260	1	4260	7,60063457
4270	0	4270	7,60093975
4280	0	4280	7,60093975
4290	0	4290	7,60093975
4300	0	4300	7,599719
4310	0	4310	7,599414
4320	0	4320	7,60063457
4330	0	4330	7,60155
4340	0	4340	7,60155
4350	0	4350	7,60185528
4360	0	4360	7,603076
4370	0	4370	7,603076
4380	0	4380	7,603381
4390	0	4390	7,60399151
4400	1	4400	7,60429668
4410	1	4410	7,60399151
4420	1	4420	7,60368633
4430	1	4430	7,603381
4440	1	4440	7,60246563
4450	1	4450	7,60185528
4460	1	4460	7,601245
4470	1	4470	7,5991087
4480	0	4480	7,59880352
4490	0	4490	7,60063457
4500	0	4500	7,60063457
4510	0	4510	7,599719
4520	0	4520	7,60063457
4530	0	4530	7,601245
4540	0	4540	7,601245
4550	0	4550	7,60185528
4560	0	4560	7,60185528
4570	0	4570	7,60093975
4580	0	4580	7,60063457
4590	0	4590	7,60155
4600	1	4600	7,601245
4610	1	4610	7,599719
4620	1	4620	7,599414
4630	1	4630	7,59880352
4640	1	4640	7,5991087
4650	1	4650	7,599719
4660	1	4660	7,599719
4670	1	4670	7,600024
4680	0	4680	7,60063457
4690	0	4690	7,60093975
4700	0	4700	7,601245
4710	0	4710	7,60155
4720	0	4720	7,60185528
4730	0	4730	7,60155
4740	0	4740	7,60185528
4750	0	4750	7,60185528
4760	0	4760	7,60216045
4770	0	4770	7,603381
4780	0	4780	7,603381
4790	0	4790	7,603076
4800	0	4800	7,60246563
4810	0	4810	7,60216045
4820	0	4820	7,60155
4830	1	4830	7,601245
4840	1	4840	7,60246563
4850	1	4850	7,60429668
4860	1	4860	7,60399151
4870	1	4870	7,603076
4880	1	4880	7,60368633
4890	1	4890	7,604602
4900	0	4900	7,604602
4910	0	4910	7,60399151
4920	0	4920	7,603381
4930	0	4930	7,603076
4940	0	4940	7,60246563
4950	0	4950	7,60216045
4960	0	4960	7,601245
4970	0	4970	7,600024
4980	0	4980	7,599414
4990	0	4990	7,599414
5000	0	5000	7,60063457
5010	0	5010	7,60063457
5020	1	5020	7,601245
5030	1	5030	7,60185528
5040	1	5040	7,60216045
5050	1	5050	7,60093975
5060	1	5060	7,60093975
5070	1	5070	7,60216045
5080	1	5080	7,601245
5090	1	5090	7,60093975
5100	0	5100	7,601245
5110	0	5110	7,600024
5120	0	5120	7,599719
5130	0	5130	7,599719
5140	0	5140	7,5991087
5150	0	5150	7,599719
5160	0	5160	7,60093975
5170	0	5170	7,60063457
5180	0	5180	7,60093975
5190	0	5190	7,60155
5200	0	5200	7,60155
5210	1	5210	7,60155
5220	1	5220	7,60185528
5230	1	5230	7,60155
5240	1	5240	7,60185528
5250	1	5250	7,60246563
5260	1	5260	7,603076
5270	1	5270	7,60216045
5280	1	5280	7,601245
5290	0	5290	7,601245
5300	0	5300	7,60185528
5310	0	5310	7,603076
5320	0	5320	7,60368633
5330	0	5330	7,60429668
5340	0	5340	7,605212
5350	0	5350	7,604907
5360	0	5360	7,604602
5370	0	5370	7,605212
5380	0	5380	7,604602
5390	0	5390	7,60399151
5400	1	5400	7,60399151
5410	1	5410	7,60368633
5420	1	5420	7,60429668
5430	1	5430	7,60368633
5440	1	5440	7,603381
5450	1	5450	7,603381
5460	1	5460	7,603076
5470	0	5470	7,60368633
5480	0	5480	7,60429668
5490	0	5490	7,604602
5500	0	5500	7,604907
5510	0	5510	7,604602
5520	0	5520	7,604907
5530	0	5530	7,604602
5540	0	5540	7,60429668
5550	0	5550	7,60429668
5560	0	5560	7,60429668
5570	0	5570	7,604602
5580	0	5580	7,60399151
5590	0	5590	7,603381
5600	0	5600	7,60246563
5610	1	5610	7,60185528
5620	1	5620	7,60216045
5630	1	5630	7,60368633
5640	1	5640	7,60399151
5650	1	5650	7,604602
5660	1	5660	7,60612774
5670	1	5670	7,60582256
5680	0	5680	7,60429668
5690	0	5690	7,60368633
5700	0	5700	7,60368633
5710	0	5710	7,60429668
5720	0	5720	7,60429668
5730	0	5730	7,60399151
5740	0	5740	7,60368633
5750	0	5750	7,603381
5760	0	5760	7,603076
5770	0	5770	7,60216045
5780	0	5780	7,60246563
5790	0	5790	7,603381
5800	0	5800	7,603076
5810	1	5810	7,603076
5820	1	5820	7,60429668
5830	1	5830	7,604602
5840	1	5840	7,60429668
5850	1	5850	7,60429668
5860	1	5860	7,604907
